,"Estimated number of people (all ages) living with HIV","Estimated number of people (all ages) living with HIV","Estimated number of people (all ages) living with HIV","Estimated number of people (all ages) living with HIV","Estimated number of people (all ages) living with HIV","Estimated number of people (all ages) living with HIV","Estimated number of people (all ages) living with HIV","Estimated number of people (all ages) living with HIV","Estimated number of people (all ages) living with HIV","Estimated number of people (all ages) living with HIV","Estimated number of people (all ages) living with HIV","Estimated number of people (all ages) living with HIV","Estimated number of people (all ages) living with HIV","Estimated number of people (all ages) living with HIV","Estimated number of people (all ages) living with HIV","Estimated number of people (all ages) living with HIV","Estimated number of people (all ages) living with HIV","Estimated number of people (all ages) living with HIV","Estimated number of people (all ages) living with HIV","Estimated number of people (all ages) living with HIV","Estimated number of people (all ages) living with HIV"
"Belarus","28 000 [22 000-37 000]","28 000 [22 000-36 000]","27 000 [21 000-35 000]","25 000 [20 000-33 000]","24 000 [19 000-31 000]","23 000 [18 000-29 000]","21 000 [16 000-27 000]","19 000 [15 000-25 000]","18 000 [14 000-22 000]","16 000 [12 000-20 000]","14 000 [11 000-18 000]","12 000 [9600-15 000]","11 000 [8100-13 000]","8900 [6900-11 000]","7300 [5700-9600]","5900 [4700-7900]","4800 [3700-6400]","3700 [2800-5200]","2900 [2200-4100]","2300 [1700-3200]","1800 [1300-2500]"
"Belgium","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Belize","3800 [2600-5200]","3800 [2500-5100]","3700 [2500-5000]","3600 [2400-4900]","3500 [2400-4800]","3400 [2300-4700]","3300 [2200-4600]","3200 [2100-4500]","3100 [2000-4400]","3000 [1900-4300]","2900 [1800-4100]","2800 [1700-4000]","2700 [1700-3900]","2500 [1600-3800]","2400 [1500-3700]","2300 [1500-3500]","2200 [1400-3300]","2000 [1300-3100]","1900 [1100-2800]","1700 [1000-2500]","1500 [900-2100]"
"Benin","75 000 [65 000-94 000]","75 000 [65 000-93 000]","76 000 [65 000-93 000]","75 000 [65 000-91 000]","75 000 [65 000-89 000]","75 000 [65 000-88 000]","74 000 [64 000-87 000]","73 000 [63 000-85 000]","71 000 [62 000-83 000]","70 000 [61 000-81 000]","68 000 [59 000-79 000]","67 000 [58 000-76 000]","65 000 [57 000-75 000]","65 000 [56 000-75 000]","65 000 [56 000-75 000]","65 000 [56 000-75 000]","65 000 [55 000-75 000]","64 000 [54 000-74 000]","63 000 [53 000-73 000]","61 000 [52 000-72 000]","59 000 [51 000-70 000]"
"Bhutan","1300 [<500-3100]","1300 [<500-3100]","1300 [<500-2900]","1300 [<500-2800]","1300 [<500-2800]","1200 [<500-2800]","1200 [<500-2800]","1200 [<500-2700]","1200 [<500-2700]","1200 [<500-2700]","1200 [<500-2600]","1100 [<500-2500]","1100 [<500-2400]","1000 [<500-2300]","1000 [<500-2100]","940 [<500-1900]","860 [<200-1700]","780 [<200-1500]","680 [<200-1300]","570 [<200-1100]","<500 [<200-950]"
"Bolivia (Plurinational State of)","17 000 [15 000-20 000]","17 000 [14 000-20 000]","16 000 [14 000-19 000]","15 000 [13 000-18 000]","15 000 [12 000-17 000]","14 000 [12 000-16 000]","13 000 [11 000-16 000]","13 000 [11 000-15 000]","12 000 [10 000-14 000]","12 000 [10 000-14 000]","12 000 [9900-14 000]","11 000 [9600-14 000]","11 000 [9300-13 000]","11 000 [9000-13 000]","10 000 [8700-13 000]","10 000 [8400-13 000]","9900 [8100-13 000]","9600 [7800-13 000]","9300 [7500-13 000]","9000 [7200-12 000]","8600 [6800-12 000]"
"Bosnia and Herzegovina","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Botswana","370 000 [350 000-400 000]","370 000 [350 000-400 000]","370 000 [350 000-390 000]","370 000 [340 000-390 000]","360 000 [340 000-390 000]","360 000 [340 000-380 000]","350 000 [330 000-380 000]","350 000 [330 000-370 000]","340 000 [330 000-370 000]","340 000 [320 000-360 000]","330 000 [310 000-350 000]","320 000 [310 000-350 000]","320 000 [300 000-340 000]","310 000 [300 000-330 000]","300 000 [290 000-330 000]","300 000 [290 000-320 000]","300 000 [280 000-320 000]","290 000 [280 000-320 000]","290 000 [280 000-310 000]","290 000 [270 000-310 000]","280 000 [260 000-300 000]"
"Brazil","930 000 [450 000-1 400 000]","900 000 [440 000-1 300 000]","870 000 [420 000-1 300 000]","840 000 [410 000-1 200 000]","810 000 [400 000-1 200 000]","790 000 [380 000-1 100 000]","760 000 [370 000-1 100 000]","730 000 [350 000-1 100 000]","700 000 [340 000-1 000 000]","670 000 [330 000-980 000]","640 000 [310 000-940 000]","610 000 [300 000-900 000]","580 000 [280 000-850 000]","550 000 [270 000-810 000]","530 000 [250 000-770 000]","500 000 [240 000-720 000]","470 000 [220 000-680 000]","440 000 [210 000-640 000]","410 000 [200 000-600 000]","380 000 [180 000-550 000]","350 000 [170 000-510 000]"
"Brunei Darussalam","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Bulgaria","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Burkina Faso","97 000 [81 000-110 000]","99 000 [83 000-110 000]","100 000 [85 000-120 000]","100 000 [87 000-120 000]","110 000 [90 000-120 000]","110 000 [93 000-130 000]","110 000 [96 000-130 000]","120 000 [98 000-130 000]","120 000 [100 000-140 000]","120 000 [100 000-140 000]","120 000 [100 000-140 000]","120 000 [100 000-140 000]","130 000 [110 000-150 000]","130 000 [110 000-150 000]","130 000 [110 000-160 000]","140 000 [110 000-160 000]","140 000 [120 000-170 000]","150 000 [120 000-170 000]","150 000 [130 000-180 000]","160 000 [130 000-190 000]","160 000 [130 000-200 000]"
"Burundi","83 000 [73 000-95 000]","83 000 [74 000-95 000]","84 000 [75 000-95 000]","85 000 [76 000-96 000]","86 000 [77 000-97 000]","87 000 [78 000-98 000]","88 000 [80 000-99 000]","90 000 [81 000-100 000]","91 000 [83 000-100 000]","93 000 [85 000-110 000]","95 000 [86 000-110 000]","98 000 [88 000-110 000]","100 000 [90 000-110 000]","100 000 [93 000-120 000]","110 000 [96 000-120 000]","110 000 [99 000-130 000]","120 000 [100 000-130 000]","120 000 [110 000-140 000]","130 000 [110 000-140 000]","130 000 [110 000-150 000]","140 000 [120 000-160 000]"
"Cabo Verde","2400 [2000-2900]","2300 [2000-2800]","2300 [2000-2700]","2200 [1900-2600]","2200 [1900-2500]","2100 [1800-2400]","2100 [1800-2400]","2000 [1800-2400]","2000 [1700-2400]","1900 [1600-2300]","1900 [1600-2300]","1800 [1500-2300]","1800 [1500-2400]","1700 [1400-2400]","1700 [1400-2500]","1700 [1300-2500]","1700 [1300-2500]","1600 [1300-2400]","1600 [1200-2400]","1600 [1200-2400]","1500 [1100-2300]"
"Cambodia","75 000 [67 000-83 000]","76 000 [68 000-83 000]","76 000 [68 000-84 000]","77 000 [69 000-85 000]","78 000 [70 000-86 000]","79 000 [70 000-87 000]","80 000 [71 000-88 000]","80 000 [72 000-89 000]","81 000 [72 000-90 000]","81 000 [73 000-90 000]","82 000 [73 000-91 000]","82 000 [73 000-91 000]","81 000 [72 000-91 000]","81 000 [72 000-91 000]","82 000 [72 000-92 000]","82 000 [72 000-92 000]","83 000 [73 000-93 000]","83 000 [73 000-94 000]","83 000 [73 000-95 000]","83 000 [72 000-94 000]","80 000 [70 000-92 000]"
"Cameroon","500 000 [470 000-540 000]","500 000 [470 000-540 000]","500 000 [470 000-540 000]","510 000 [470 000-550 000]","510 000 [480 000-550 000]","520 000 [490 000-560 000]","520 000 [490 000-560 000]","520 000 [490 000-570 000]","520 000 [490 000-570 000]","520 000 [490 000-570 000]","520 000 [490 000-570 000]","520 000 [480 000-570 000]","510 000 [470 000-560 000]","500 000 [470 000-550 000]","500 000 [460 000-550 000]","490 000 [450 000-540 000]","480 000 [440 000-520 000]","460 000 [430 000-510 000]","450 000 [410 000-490 000]","420 000 [390 000-470 000]","390 000 [360 000-440 000]"
"Canada","No data","No data","62 000 [53 000-73 000]","60 000 [51 000-70 000]","58 000 [50 000-68 000]","57 000 [48 000-65 000]","55 000 [47 000-63 000]","54 000 [45 000-62 000]","53 000 [45 000-61 000]","52 000 [44 000-60 000]","50 000 [42 000-58 000]","49 000 [41 000-57 000]","48 000 [40 000-55 000]","46 000 [39 000-54 000]","45 000 [38 000-52 000]","43 000 [36 000-50 000]","42 000 [35 000-49 000]","40 000 [33 000-46 000]","38 000 [31 000-44 000]","36 000 [30 000-43 000]","35 000 [29 000-41 000]"
"Central African Republic","88 000 [73 000-110 000]","90 000 [74 000-110 000]","92 000 [76 000-110 000]","94 000 [78 000-110 000]","96 000 [81 000-110 000]","100 000 [84 000-120 000]","100 000 [88 000-120 000]","110 000 [93 000-130 000]","110 000 [98 000-130 000]","120 000 [100 000-140 000]","120 000 [110 000-140 000]","130 000 [110 000-150 000]","130 000 [110 000-150 000]","140 000 [120 000-160 000]","140 000 [120 000-160 000]","140 000 [120 000-170 000]","150 000 [120 000-180 000]","150 000 [130 000-180 000]","150 000 [130 000-180 000]","150 000 [130 000-180 000]","150 000 [130 000-190 000]"
"Chad","110 000 [90 000-130 000]","110 000 [91 000-130 000]","110 000 [93 000-130 000]","110 000 [93 000-130 000]","110 000 [92 000-130 000]","110 000 [91 000-130 000]","110 000 [90 000-130 000]","110 000 [90 000-130 000]","110 000 [89 000-130 000]","110 000 [88 000-130 000]","110 000 [87 000-130 000]","110 000 [85 000-130 000]","100 000 [84 000-130 000]","100 000 [82 000-130 000]","100 000 [81 000-130 000]","100 000 [81 000-130 000]","100 000 [80 000-130 000]","100 000 [79 000-130 000]","100 000 [77 000-130 000]","98 000 [76 000-120 000]","96 000 [73 000-120 000]"
"Chile","77 000 [68 000-86 000]","73 000 [64 000-80 000]","68 000 [60 000-75 000]","63 000 [56 000-69 000]","58 000 [52 000-64 000]","54 000 [48 000-59 000]","49 000 [44 000-54 000]","46 000 [41 000-50 000]","42 000 [38 000-46 000]","39 000 [35 000-43 000]","36 000 [32 000-40 000]","34 000 [30 000-37 000]","32 000 [28 000-34 000]","30 000 [27 000-32 000]","28 000 [25 000-31 000]","27 000 [24 000-29 000]","25 000 [23 000-28 000]","24 000 [22 000-27 000]","23 000 [20 000-25 000]","21 000 [19 000-23 000]","19 000 [17 000-21 000]"
"China","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
